longitude,latitude,OBJECTID,HOUSE_NUMB,HYPERLINK,BUILDING_N,LEVEL_NO,STREETNAME,POSTALCODE,DESCRIPTIO,NAME_OF_SC,UNIT_NO,INC_CRC,FMEL_UPD_D,X_ADDR,Y_ADDR
103.85524787058598,1.300917995264434,88,158B,http://www.1wholisticplace.com.sg,,,ROCHOR ROAD,188433,Private Education Institutions,1@WHOLISTIC LEARNING PLACE,,E362668FE2393768,2014/01/27,30440.53250000000,31474.43120000000
103.84655600876037,1.288862922918573,89,6,http://www.3dsense.net,THE CENTRAL,03,EU TONG SEN STREET,059817,Private Education Institutions,3DSENSE MEDIA SCHOOL,38,295BA66B346E61A0,2014/01/27,29473.21360000000,30141.43670000000
103.85196701185851,1.298787528344262,90,261,http://www.amwilmusicdrama.com/,NIL,03,WATERLOO STREET,180261,Private Education Institutions,A & M WILKINSON SCHOOL OF MUSIC & DRAMA,04,E5C11B1176BF9443,2014/01/27,30075.40420000000,31238.85220000000
103.81699240646805,1.283692638117956,91,163,http://www.absna.com,,04,BUKIT MERAH CENTRAL,150163,Private Education Institutions,ABSNA SCHOOL,3575,9F49A522DB23945F,2014/01/27,26183.03180000000,29569.73540000000
103.76629347983456,1.307051557456677,92,27A,http://www.ics.edu.sg,,,JUBILEE ROAD,128575,Private Education Institutions,INTERNATIONAL COMMUNITY SCHOOL (SINGAPORE),,CC4B8399D443EA90,2014/01/27,20540.72670000000,32152.73790000000
103.84751481551484,1.30702559503813,93,75,http://www.ieec.edu.sg,BOON SIEW BUILDING,05,BUKIT TIMAH ROAD,229833,Private Education Institutions,INTERNATIONAL EXECUTIVE EDUCATION CENTER,04,5BE704D22C16EBB8,2014/01/27,29579.90940000000,32149.77200000000
103.84954059686515,1.301232506172409,94,1,http://www.ims.edu.sg,PEACE CENTRE,06,SOPHIA ROAD,228149,Private Education Institutions,INTERNATIONAL MANAGEMENT SCHOOL,25,CBF2AA68C420222F,2014/01/27,29805.36410000000,31509.20350000000
103.84847054556026,1.273720504774816,95,12,http://www.isa.edu.sg,BESTWAY BUILDING,01,PRINCE EDWARD ROAD,079212,Private Education Institutions,INTERNATIONAL SPORTS ACADEMY (S),02,044526256960648D,2014/01/27,29686.29510000000,28467.06760000000
103.80572770242054,1.280675082253638,96,21,http://www.iss.edu.sg,,,PRESTON ROAD,109355,Private Education Institutions,ISS INTERNATIONAL SCHOOL,,EDA37FCBFBA62738,2014/01/27,24929.35960000000,29236.08030000000
103.8471089987612,1.288188738576052,97,"43, 45, 47",http://www.itc2u.com,,02,NEW BRIDGE ROAD,059399,Private Education Institutions,ITC SCHOOL OF LAWS,01,629D75AAF47183BB,2014/01/27,29534.75710000000,30066.88920000000
