latitude,longitude,Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Unit Price ($ psm),Unit Price ($ psf),Contract Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
1.328162,103.86297,RIVERBAY,23 Mar Thoma Road  #18-08 ,1,48,Strata,760750,15849,1472,15-Jan-14,Apartment,999 Yrs From 02/06/1882,Uncompleted,New Sale,Private,12,32,328704,Central Region,Kallang
1.328162,103.86297,RIVERBAY,23 Mar Thoma Road  #24-02 ,1,60,Strata,911200,15187,1411,27-Dec-13,Apartment,999 Yrs From 02/06/1882,Uncompleted,New Sale,HDB,12,32,328704,Central Region,Kallang
1.328162,103.86297,RIVERBAY,23 Mar Thoma Road  #16-06 ,1,73,Strata,988000,13534,1257,2-Dec-13,Apartment,999 Yrs From 02/06/1882,Uncompleted,New Sale,HDB,12,32,328704,Central Region,Kallang
1.328162,103.86297,RIVERBAY,23 Mar Thoma Road  #21-02 ,1,60,Strata,899300,14988,1392,26-Nov-13,Apartment,999 Yrs From 02/06/1882,Uncompleted,New Sale,HDB,12,32,328704,Central Region,Kallang
1.328162,103.86297,RIVERBAY,23 Mar Thoma Road  #21-04 ,1,36,Strata,575450,15985,1485,18-Nov-13,Apartment,999 Yrs From 02/06/1882,Uncompleted,New Sale,HDB,12,32,328704,Central Region,Kallang
1.328162,103.86297,RIVERBAY,23 Mar Thoma Road  #21-08 ,1,48,Strata,755650,15743,1463,15-Nov-13,Apartment,999 Yrs From 02/06/1882,Uncompleted,New Sale,HDB,12,32,328704,Central Region,Kallang
1.328162,103.86297,RIVERBAY,23 Mar Thoma Road  #20-09 ,1,61,Strata,922000,15115,1404,4-Nov-13,Apartment,999 Yrs From 02/06/1882,Uncompleted,New Sale,Private,12,32,328704,Central Region,Kallang
1.370063,103.864817,SERANGOON GARDEN ESTATE,63 Tavistock Avenue ,1,246,Land,3300000,13398,1245,13-Nov-13,Semi-Detached House,999 Yrs From 01/01/1954,1996,Resale,Private,19,55,555161,North East Region,Serangoon
1.384733,103.866021,SELETAR HILLS ESTATE,20G Neram Crescent ,1,223,Land,3700000,16577,1540,20-Dec-13,Semi-Detached House,999 Yrs From 01/01/1879,2007,Resale,Private,28,80,807848,North East Region,Serangoon
1.383114,103.867583,SELETAR HILLS ESTATE,82 Neram Road ,1,481,Land,5420000,11264,1046,8-Nov-13,Semi-Detached House,999 Yrs From 01/01/1879,Unknown,Resale,Private,28,80,807777,North East Region,Serangoon
