longitude,latitude,OBJECTID,ADDRESSBLO,ADDRESSBUI,ADDRESSFLO,ADDRESSPOS,ADDRESSSTR,ADDRESSTYP,ADDRESSUNI,DESCRIPTIO,HYPERLINK,LANDXADDRE,LANDYADDRE,NAME,PHOTOURL,INC_CRC,FMEL_UPD_D,X_ADDR,Y_ADDR
103.84473351310083,1.280330245383749,69,1,,,69184,Kadayanallur Street,I,,,,29280.89000000000,29173.83000000000,Maxwell Food Centre,,794E8B7693F186BC,2014/01/29,29270.38940000000,29197.93640000000
103.83950284171848,1.312319871065463,70,500,,,229495,Clemenceau Ave North,I,,,,28694.91000000000,32687.91000000000,Newton Food Centre,,3B1488BC6D1AF381,2014/01/29,28688.24950000000,32735.18220000000
103.86390934111166,1.305634342604037,71,861,,,198783,North Bridge Road,I,,,,31402.43000000000,32010.44000000000,North Bridge Road Market & Food Centre,,A9B79C69852CFACE,2014/01/29,31404.46990000000,31995.95070000000
103.79140272255111,1.275907566105205,72,121,,,118543,Pasir Panjang Road,I,,,,23335.09000000000,28708.93000000000,Pasir Panjang Food Centre,,DEB22B28C3C557B2,2014/01/29,23335.09690000000,28708.93450000000
103.85022512865459,1.316159986999931,73,41A,,,211041,Cambridge Road,I,,,,29881.53000000000,33159.80000000000,Pek Kio Market & Food Centre,,7D1A3D35ED1E7154,2014/01/29,29881.53520000000,33159.80810000000
103.84257877616484,1.28499106329695,74,32,,,50032,New Market Road,I,,,,29030.58000000000,29713.30000000000,People's Park Food Centre,,437675AE26808AD7,2014/01/29,29030.58280000000,29713.30460000000
103.82899421961811,1.37238497890919,75,590,,,574419,Upper Thomson Road,I,,,,27518.75000000000,39376.87000000000,Sembawang Hill Food Centre,,92D2EAD189C0F7E0,2014/01/29,27518.75160000000,39376.87420000000
103.8665782310761,1.362996107520948,76,49A,,,555945,Serangoon Garden Way,I,,,,31719.13000000000,38356.53000000000,Serangoon Garden Market,,F0A6A8D3083E418E,2014/01/29,31701.40720000000,38338.72580000000
103.72151991894749,1.334589383027066,77,3,,,618499,Yung Sheng Road,I,,,,15557.97000000000,35197.91000000000,Taman Jurong Market & Food Centre,,32449706FC07B89F,2014/01/29,15557.97550000000,35197.91250000000
103.79771938838061,1.300558074628879,78,48A,,,148813,Tanglin Halt Road,I,,,,24027.71000000000,31460.22000000000,Tanglin Halt Market,,2B3D936725613243,2014/01/29,24038.12990000000,31434.65040000000
103.85053102533415,1.306205921396381,79,665,,,210665,Buffalo Road,I,,,,29915.58000000000,32059.13000000000,Tekka Market,,43351DFBF67F6B05,2014/01/29,29915.58610000000,32059.13890000000
103.83234882127549,1.285088295552787,80,30,,,168898,Seng Poh Road,I,,,,27892.07000000000,29724.05000000000,Tiong Bahru Market,,79EAE682D4FCC2FC,2014/01/29,27892.07400000000,29724.05410000000
103.83118931163328,1.292342232695016,81,70,,,247792,Zion Road,I,,,,27763.03000000000,30526.15000000000,Zion Riverside Food Centre,,0BF79E16390DD80D,2014/01/29,27763.03080000000,30526.15710000000
103.91405397726854,1.333159294797995,82,630,,,470630,Bedok Reservoir Road,I,,,,36985.00000000000,35039.64000000000,Blk 630 Bedok Reservoir Road,,1A37EA1A8E5665AC,2014/01/29,36985.00980000000,35039.64510000000
